REF;LONGITUDE;LATITUDE;NOM1;NOM2;TYPE;OSM_ID;OSM_LON;OSM_LAT;OSM_NAME;DIFF_POS;DIFF_NOM;DIFF_NOM_CAP
1689;2.326185659;48.87557787;Saint-Lazare;PARIS-08EME;metro;243510338;2.3254192;48.8754744;Saint-Lazare;57;0;0
1690;2.418673101;48.84629776;Saint-Mandé;SAINT-MANDE;metro;243487863;2.4193071;48.8461657;Saint-Mandé - Tourelle;48;1;1
1691;2.361408779;48.83951419;Saint-Marcel;PARIS-13EME;metro;265055434;2.3608293;48.8382823;Saint-Marcel;143;0;0
1694;2.343468452;48.85328758;Saint-Michel;PARIS-05EME;metro;264515098;2.3443622;48.8535657;Saint-Michel;72;0;0
1695;2.360653354;48.8551436;Saint-Paul (Le Marais);PARIS-04EME;metro;27371867;2.3606657;48.8552140;Saint-Paul;7;1;1
1696;2.309820094;48.87217982;Saint-Philippe du Roule;PARIS-08EME;metro;260769651;2.3100827;48.8723362;Saint-Philippe du Roule;25;0;0
1697;2.326932636;48.84658039;Saint-Placide;PARIS-06EME;metro;264520061;2.3270822;48.8470711;Saint-Placide;55;0;0
1699;2.367024095;48.86128059;Saint-Sébastien-Froissart;PARIS-03EME;metro;264479724;2.3671644;48.8608519;Saint-Sébastien - Froissart;48;1;1
1698;2.330867564;48.85080479;Saint-Sulpice;PARIS-06EME;metro;324352448;2.3311829;48.8514725;Saint-Sulpice;77;0;0
1631;2.307820418;48.84675246;Ségur;PARIS-15EME;metro;261665825;2.3076354;48.8470802;Ségur;38;0;0
1702;2.346613639;48.86741333;Sentier;PARIS-02EME;metro;243507795;2.3463248;48.8676419;Sentier;33;0;0
1632;2.325872863;48.85120436;Sèvres-Babylone;PARIS-07EME;metro;261162833;2.3267159;48.8514587;Sèvres-Babylone;67;0;0
1633;2.310183904;48.84513077;Sèvres-Lecourbe;PARIS-15EME;metro;1659843199;2.3095848;48.8456163;Sèvres-Lecourbe;69;0;0
1621;2.347091065;48.89463269;Simplon;PARIS-18EME;metro;264505993;2.3477372;48.8937935;Simplon;104;0;0
1622;2.322680622;48.85855124;Solférino;PARIS-07EME;metro;263497272;2.3231168;48.8586775;Solférino;34;0;0
1627;2.367085015;48.88430479;Stalingrad;PARIS-19EME;metro;235377792;2.3659442;48.8842870;Stalingrad;83;0;0
1628;2.354097106;48.86919971;Strasbourg-Saint-Denis;PARIS-02EME;metro;256897077;2.3544678;48.8694199;Strasbourg - Saint-Denis;36;1;1
1630;2.361866964;48.85103384;Sully-Morland;PARIS-04EME;metro;264785951;2.3622044;48.8512630;Sully – Morland;35;1;1
55329;2.398590063;48.87539364;Telegraphe;PARIS-20EME;metro;264690370;2.3990981;48.8755258;Télégraphe;39;1;1
1634;2.361080722;48.86636878;Temple;PARIS-03EME;metro;243507792;2.3615193;48.8665492;Temple;37;0;0
1635;2.298030713;48.8780662;Ternes;PARIS-17EME;metro;838533003;2.2982339;48.8780508;Ternes;14;0;0
1636;2.357241928;48.8265069;Tolbiac;PARIS-13EME;metro;268467197;2.3573719;48.8261434;Tolbiac;41;0;0
1638;2.333058077;48.87650879;Trinité-d'Estienne d'Orves;PARIS-09EME;metro;264495077;2.3326310;48.8763705;Trinité d'Estienne d'Orves;34;1;1
1639;2.287019844;48.86297084;Trocadéro;PARIS-16EME;metro;260765389;2.2870524;48.8630266;Trocadéro;6;0;0
1640;2.33031418;48.8644971;Tuileries;PARIS-01ER;metro;27362258;2.3298436;48.8643585;Tuileries;37;0;0
1643;2.321934348;48.84887166;Vaneau;PARIS-07EME;metro;473070143;2.3218984;48.8491398;Vaneau;29;0;0
1644;2.315530234;48.8575166;Varenne;PARIS-07EME;metro;245250759;2.3151577;48.8568058;Varenne;83;0;0
1645;2.30098264;48.83956803;Vaugirard (Adolphe Chérioux);PARIS-15EME;metro;244494486;2.3012923;48.8395785;Vaugirard;22;1;1
1646;2.329003219;48.84200365;Vavin;PARIS-06EME;metro;264526095;2.3289966;48.8421852;Vavin;20;0;0
1648;2.285267268;48.86967166;Victor Hugo;PARIS-16EME;metro;243496728;2.2854485;48.8698038;Victor Hugo;19;0;0
1650;2.363943527;48.80417407;Villejuif-Léo Lagrange;VILLEJUIF;metro;318536832;2.3637793;48.8051272;Villejuif – Léo Lagrange;106;1;1
1649;2.366974715;48.78700202;Villejuif-Louis Aragon;VILLEJUIF;metro;318536848;2.3674198;48.7869402;Villejuif - Louis Aragon;33;1;1
1651;2.367966137;48.79594473;Villejuif-Paul Vaillant Couturier (Hôpital Paul Brousse);VILLEJUIF;metro;318536943;2.3684013;48.7960877;Villejuif – Paul Vaillant Couturier;35;1;1
1654;2.315270551;48.8810544;Villiers;PARIS-17EME;metro;243496029;2.3155318;48.8812626;Villiers;30;0;0
1656;2.308041146;48.84169703;Volontaires;PARIS-15EME;metro;244494489;2.3080120;48.8415118;Volontaires;20;0;0
1657;2.37988392;48.85787584;Voltaire (Léon Blum);PARIS-11EME;metro;256895321;2.3798044;48.8581580;Voltaire;31;1;1
1658;2.304651442;48.88387396;Wagram;PARIS-17EME;metro;243510679;2.3042907;48.8839908;Wagram;29;0;0
142785;2.459436091;48.9066971;AUGUSTE DELAUNE;BOBIGNY;tram;317534356;2.4605287;48.9066932;Auguste Delaune;79;1;0
136234;2.277778725;48.83614043;BALARD;PARIS-15EME;tram;1785131564;2.2782056;48.8361038;Balard;31;1;0
433654;2.36182285;48.93759588;BASILIQUE DE SAINT-DENIS;SAINT-DENIS;tram;317532205;2.3608752;48.9380059;Basilique de Saint-Denis;82;1;0
57295;2.226031014;48.87653335;BELVEDERE;SURESNES;tram;1370384652;2.2259500;48.8760231;Belvédère;57;1;1
433649;2.449797115;48.90658526;BOBIGNY - PABLO PICASSO;BOBIGNY;tram;331447530;2.4500168;48.9065350;Bobigny - Pablo Picasso;16;1;0
